iau,filename,type,redshift
2026hkg,2026hkg_91814.dat,SN II,0.004733
2026ieg,2026ieg_91559.ascii,SN II,0.068
2026ijl,2026ijl_91546.ascii,SN Ia,0.051417
2026jcj,2026jcj_91545.ascii,SN II,0.077
2026jfz,2026jfz_91543.ascii,SN II,0.023066
2026jgm,2026jgm_91544.ascii,SN II,0.04945
2026kgy,2026kgy_91584.ascii,SN II,0.0374
2026krx,2026krx_91823.ascii,SN II,0.14
2026kwm,2026kwm_91764.flm,SN II,0.0379
2026kyu,2026kyu_91554.ascii,SN Ia,0.0856
2026kyz,2026kyz_91826.ascii,SN Ib/c,0.027292
2026ldr,2026ldr_91558.ascii,SN II,0.055
2026lij,2026lij_91772.txt,SN Ia,0.0565
2026lis,2026lis_91872.ascii,SN II,0.041
2026ljo,2026ljo_91658.ascii,SN Ia,0.020874
2026lmc,2026lmc_91662.ascii,SN Ia,0.0971
2026lmk,2026lmk_91661.ascii,SN Ia,0.0968
2026lnq,2026lnq_91603.ascii,SLSN-I,0.368
2026lnw,2026lnw_91562.ascii,SN Ia,0.127
2026lnx,2026lnx_91805.dat,SN Ia,0.021032
2026loe,2026loe_91542.ascii,SN Ia,0.078
2026lpu,2026lpu_91833.dat,SN II,0.0193
2026lqc,2026lqc_91557.ascii,SN Ia,0.11
2026lqm,2026lqm_91555.ascii,SN II,0.05
2026lqr,2026lqr_91536.ascii,SN Ic,0.057
2026lrn,2026lrn_91822.ascii,SN Ic,0.041806
2026lsr,2026lsr_91540.ascii,SN Ia,0.088821
2026lst,2026lst_91556.ascii,SN Ia,0.07
2026lsx,2026lsx_91535.ascii,SN II,0.097
2026lwb,2026lwb_91463.ascii,SN II,0.023
2026lwb,2026lwb_91466.txt,SN II,0.023
2026lwc,2026lwc_91659.ascii,SN Ia,0.12516566
2026lwe,2026lwe_91821.ascii,SN Ia,0.05
2026lwg,2026lwg_91553.ascii,SN Ia,0.112
2026lyf,2026lyf_91541.ascii,SN Ia,0.0923
2026mab,2026mab_91859.ascii,SN Ia,0.07099
2026mfc,2026mfc_91698.ascii,SN II,0.025654
2026mfv,2026mfv_91862.ascii,SN IIn,0.102
2026mgp,2026mgp_91551.ascii,SN Ia,0.1141
2026mih,2026mih_91552.ascii,SN Ia,0.149
2026mjx,2026mjx_91583.ascii,SN II,0.00905
2026mkp,2026mkp_91550.ascii,SN II,0.05
2026mlr,2026mlr_91669.ascii,SN Ia,0.068
2026mlu,2026mlu_91899.ascii,SN IIn,0.029
2026mlv,2026mlv_91539.ascii,SN II,0.048
2026muq,2026muq_91548.ascii,SN IIn,0.07
2026mvn,2026mvn_91596.dat,SN Ia,0.050042
2026mxi,2026mxi_91538.ascii,SN Ia,0.123
2026mxk,2026mxk_91549.ascii,SN IIn,0.101
2026mxo,2026mxo_91861.ascii,SN IIn,0.066
2026mxx,2026mxx_91476.ascii,SN Ia,0.06908
2026mxz,2026mxz_91467.ascii,SN Ia,0.05
2026mys,2026mys_91664.ascii,SN Ia,0.07792
2026myx,2026myx_91534.ascii,SN II,0.052053
2026naj,2026naj_91462.ascii,SN Ia,0.0674
2026nan,2026nan_91743.ascii,SLSN-I,0.42
2026nbh,2026nbh_91537.ascii,SN Ia,0.052
2026nea,2026nea_91611.ascii,SN Ia,0.068
2026neb,2026neb_91863.dat,SN II,0.06
2026ned,2026ned_91680.dat,SN II,0.045
2026nfk,2026nfk_91579.ascii,SN II,0.02069
2026nft,2026nft_91533.ascii,SN Ia,0.03
2026nib,2026nib_91668.ascii,SN Ia,0.060802
2026njz,2026njz_91464.ascii,SN Ia,0.04828
2026nkc,2026nkc_91585.ascii,SN Ia,0.082
2026nkt,2026nkt_91825.ascii,SLSN-I,0.33
2026nlu,2026nlu_91666.ascii,SN Ia,0.0421
2026nmq,2026nmq_91461.ascii,SN Ia,0.030133
2026nmq,2026nmq_91587.dat,SN Ia,0.030133
2026nmv,2026nmv_91681.csv,SN IIn,0.03
2026nnc,2026nnc_91532.ascii,SN Ia,0.139
2026nnf,2026nnf_91572.ascii,SN Ia,0.029307
2026noy,2026noy_91654.dat,SN Ia,0.01
2026noz,2026noz_91897.ascii,SN Ia,0.19
2026nph,2026nph_91768.dat,SN Ia,0.05
2026npn,2026npn_91465.ascii,SN Ia,0.05
2026npo,2026npo_91582.ascii,SN IIn,0.04648
2026npt,2026npt_91819.ascii,SN Ia,0.09
2026npu,2026npu_91667.ascii,SN Ia,0.089
2026npz,2026npz_91646.ascii,SN IIP,0.04
2026nqz,2026nqz_91820.ascii,SN Ia,0.122
2026nrr,2026nrr_91597.dat,SN II,0.02
2026nrr,2026nrr_91628.ascii,SN II,0.02
2026ntg,2026ntg_91581.ascii,SN Ia,0.11
2026ntr,2026ntr_91670.ascii,SN Ic-BL,0.06
2026nul,2026nul_91492.txt,SN Ia,0.074
2026nun,2026nun_91527.ascii,SN Ia,0.076
2026nuu,2026nuu_91655.dat,SN II,0.032
2026nux,2026nux_91794.ascii,SN Ia,0.05
2026nvd,2026nvd_91494.txt,SN Ia-pec,0.06
2026nvg,2026nvg_91490.txt,SN Ia,0.058
2026nvj,2026nvj_91644.ascii,SN II,0.035358
2026nvy,2026nvy_91831.ascii,SN Ia-91T-like,0.025
2026nwe,2026nwe_91645.csv,SN Ia,0.026
2026nwg,2026nwg_91495.txt,SN II,0.022
2026nwh,2026nwh_91586.ascii,SN Ia,0.067
2026nwk,2026nwk_91491.txt,SN Ia,0.082
2026nxc,2026nxc_91660.ascii,SN Ia,0.075
2026nxo,2026nxo_91783.ascii,SLSN-I,0.33
2026nxt,2026nxt_91529.txt,SN Ia-91T-like,0.084
2026nxx,2026nxx_91755.ascii,SN II,0.06
2026nxy,2026nxy_91857.ascii,SN Ib,0.038263332
2026nxz,2026nxz_91700.dat,SN IIn,0.13
2026nyg,2026nyg_91530.txt,SN Ia-91T-like,0.062
2026nym,2026nym_91824.ascii,SN IIn,0.06
2026nyo,2026nyo_91642.ascii,SN Ia,0.094
2026nyp,2026nyp_91650.ascii,SN Ia,0.030685
2026nyp,2026nyp_91652.dat,SN Ia,0.030685
2026nyq,2026nyq_91528.ascii,SN Ia,0.021694
2026nyu,2026nyu_91665.ascii,SN Ia-91T-like,0.071586
2026nzw,2026nzw_91531.txt,SN Ia,0.034
2026nzy,2026nzy_91629.ascii,SN Ia,0.114
2026oao,2026oao_91592.ascii,SN Ic-BL,0.014585
2026oaq,2026oaq_91777.ascii,SN Ia,0.041419
2026oar,2026oar_91871.ascii,SN IIn,0.1755
2026oay,2026oay_91858.ascii,SN Ia,0.12
2026obc,2026obc_91563.txt,SN Icn,0.0195
2026obc,2026obc_91602.ascii,SN Icn,0.0195
2026ocs,2026ocs_91641.ascii,SN Ia,0.07
2026ocv,2026ocv_91612.txt,SN Ia,0.087
2026ocz,2026ocz_91613.txt,SN Ia-91T-like,0.043
2026odc,2026odc_91578.dat,SN Ia,0.035
2026odv,2026odv_91627.txt,SN Ia,0.09
2026oek,2026oek_91763.ascii,SN Ia,
2026oep,2026oep_91675.ascii,SN II,0.040646
2026oes,2026oes_91865.ascii,SN Ia,0.09
2026oez,2026oez_91784.ascii,SN Ia,0.07
2026ofe,2026ofe_91599.dat,SN II,0.02
2026ofn,2026ofn_91683.dat,SN Ia,0.089753
2026ofs,2026ofs_91769.dat,SN Ia-pec,0.035
2026ofv,2026ofv_91598.dat,SN Ia-91T-like,
2026ogd,2026ogd_91864.dat,SN Ia,0.073
2026ogm,2026ogm_91716.dat,SN Ia,0.059
2026ohw,2026ohw_91778.ascii,SN Ia,0.05847534
2026ohy,2026ohy_91673.dat,SN Ia,0.018
2026oio,2026oio_91868.dat,SN II,0.02106
2026ojk,2026ojk_91818.ascii,SN II,0.027
2026okj,2026okj_91780.ascii,SN Ia,0.0726
2026okm,2026okm_91817.ascii,SN Ia,0.086
2026oli,2026oli_91745.txt,SN IIn,0.04
2026olt,2026olt_91643.ascii,SN Ia,0.048243
2026omr,2026omr_91776.ascii,SN Ia-91T-like,0.08
2026omv,2026omv_91717.dat,SN Ia-pec,0.02
2026omv,2026omv_91771.ascii,SN Ia-pec,0.02
2026ong,2026ong_91626.txt,SN Ia,0.111
2026onm,2026onm_91809.ascii,SN Ia,0.096
2026ono,2026ono_91714.dat,SN Ia,0.09
2026ons,2026ons_91746.txt,SN Ic,0.032
2026oor,2026oor_91653.dat,SN Ia,0.04
2026oqq,2026oqq_91738.dat,SN Ia,0.08
2026ore,2026ore_91765.flm,SN Ia,0.0603
2026ori,2026ori_91795.ascii,SN Ia,0.069765
2026orm,2026orm_91699.ascii,SN Ia,0.08
2026oro,2026oro_91651.ascii,SN II,0.0466
2026oro,2026oro_91656.dat,SN II,0.0466
2026ory,2026ory_91712.dat,SN Ia,0.088
2026osc,2026osc_91686.dat,SN IIn,0.049164
2026osd,2026osd_91770.ascii,SN Ia,0.029
2026osf,2026osf_91762.ascii,SN Ia,0.09
2026osl,2026osl_91682.dat,SN Ia,0.06
2026osq,2026osq_91678.dat,SN Ia,0.03
2026ouq,2026ouq_91891.ascii,SN IIn,0.276
2026ovn,2026ovn_91739.dat,SN Ia,0.06
2026ovp,2026ovp_91779.ascii,SN Ia,0.07
2026ovq,2026ovq_91884.ascii,SN Ia,0.043
2026ovx,2026ovx_91808.ascii,SN Ia,0.07
2026owd,2026owd_91674.dat,SN Ia,0.105
2026owe,2026owe_91713.dat,SN Ia,0.1025
2026owl,2026owl_91816.ascii,SN IIb,0.042
2026own,2026own_91672.dat,SN Ia,0.070678
2026owt,2026owt_91719.dat,SN II,0.05
2026owx,2026owx_91773.ascii,SN II,0.05
2026oxc,2026oxc_91756.ascii,SN Ia,0.021832
2026oxc,2026oxc_91760.dat,SN Ia,0.021832
2026oxf,2026oxf_91748.txt,SN Ia-91bg-like,0.04
2026oxh,2026oxh_91883.dat,SN Ia,
2026oxi,2026oxi_91892.dat,SN Ia,0.044
2026oxo,2026oxo_91793.dat,SN Ia,0.038
2026oxw,2026oxw_91715.dat,SN Ia,0.09
2026oxx,2026oxx_91767.dat,SN II,0.05
2026oyq,2026oyq_91815.ascii,SN Ia,0.108136
2026oyu,2026oyu_91751.txt,SN Ia,0.16
2026oyv,2026oyv_91718.dat,SN Ia,0.12
2026ozc,2026ozc_91685.dat,SN Ia,0.14
2026ozp,2026ozp_91684.dat,SN Ia,0.032629
2026ozt,2026ozt_91752.txt,SN Ia,0.058
2026ozu,2026ozu_91749.txt,SN Ia,0.1
2026pad,2026pad_91735.dat,SN Ia,0.13
2026pao,2026pao_91753.txt,SN Ia,0.054
2026pbd,2026pbd_91736.dat,SN Ia,0.056085
2026pbm,2026pbm_91754.txt,SN Ia,0.114
2026pbo,2026pbo_91737.dat,SN Ia,0.135
2026pbr,2026pbr_91797.ascii,SN Ia,0.13
2026pdq,2026pdq_91758.dat,SN Ia,0.1
2026pec,2026pec_91766.dat,SN II,0.04
2026peh,2026peh_91860.ascii,SN Ib,0.04333
2026pel,2026pel_91759.dat,SN Ia-91T-like,0.031
2026pem,2026pem_91757.dat,SN Ia,0.112
2026per,2026per_91774.dat,SN Ia,0.08
2026pib,2026pib_91835.ascii,SN Ia-91T-like,0.133679
2026pil,2026pil_91804.txt,SN Ia,0.111
2026pir,2026pir_91836.dat,SN Ia,0.02
2026pjy,2026pjy_91807.ascii,SN Ia,0.055
2026pkg,2026pkg_91801.txt,SN Ia,0.118
2026pky,2026pky_91811.dat,SN IIP,0.022
2026pkz,2026pkz_91799.txt,SN Ia,0.053
2026pmo,2026pmo_91802.txt,SN Ia,0.05
2026pmt,2026pmt_91806.dat,SN Ia-91T-like,0.04
2026pmv,2026pmv_91800.txt,SN Ia,0.087
2026pnc,2026pnc_91803.txt,SN Ia,0.108
2026poy,2026poy_91866.ascii,SN Ia,0.0985183
2026ppc,2026ppc_91867.ascii,SN Ia,0.09
2026pqq,2026pqq_91870.dat,SN Ia,0.08432
2026pqr,2026pqr_91812.ascii,SN Ia,
2026pub,2026pub_91810.txt,SN II,0.004837
2026pwl,2026pwl_91832.ascii,SN Ia,0.069
2026qbi,2026qbi_91893.dat,SN II,0.015
2026qbu,2026qbu_91888.txt,SN Ia,0.02
2026vd,2026vd_91782.ascii,SN IIn,0.1298
