iau,filename,type,redshift
2023vjh,2023vjh_92047.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92048.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92049.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92050.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92051.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92052.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92053.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92054.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92055.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92056.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92057.txt,SN Ia-91bg-like,0.019
2024abfl,2024abfl_91963.ascii,SN II,0.002979
2024abfl,2024abfl_91964.ascii,SN II,0.002979
2024abfl,2024abfl_91965.ascii,SN II,0.002979
2024abfl,2024abfl_91966.ascii,SN II,0.002979
2024abfl,2024abfl_91967.ascii,SN II,0.002979
2024abfl,2024abfl_91968.ascii,SN II,0.002979
2024abfl,2024abfl_91969.ascii,SN II,0.002979
2024abfl,2024abfl_91970.ascii,SN II,0.002979
2024abfl,2024abfl_91971.ascii,SN II,0.002979
2024abfl,2024abfl_91972.ascii,SN II,0.002979
2024abfl,2024abfl_91973.ascii,SN II,0.002979
2024abfl,2024abfl_91974.ascii,SN II,0.002979
2024abfl,2024abfl_91975.ascii,SN II,0.002979
2024abfl,2024abfl_91976.ascii,SN II,0.002979
2024abfl,2024abfl_91977.ascii,SN II,0.002979
2024abfl,2024abfl_91978.ascii,SN II,0.002979
2024abfl,2024abfl_91979.ascii,SN II,0.002979
2024abfl,2024abfl_91980.ascii,SN II,0.002979
2024abfl,2024abfl_91981.ascii,SN II,0.002979
2024abfl,2024abfl_91982.ascii,SN II,0.002979
2024abfl,2024abfl_91983.ascii,SN II,0.002979
2024abfl,2024abfl_91984.ascii,SN II,0.002979
2024abfl,2024abfl_91985.ascii,SN II,0.002979
2024abfl,2024abfl_91986.ascii,SN II,0.002979
2024abfl,2024abfl_91987.ascii,SN II,0.002979
2024abfl,2024abfl_91988.ascii,SN II,0.002979
2024abfl,2024abfl_91989.ascii,SN II,0.002979
2024aiiq,2024aiiq_92119.txt,SN Ic-BL,0.5728
2024aijq,2024aijq_91999.ascii,SN II,0.02
2024lwa,2024lwa_92165.ascii,SN II,0.05689
2024pxl,2024pxl_92221.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92222.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92223.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92224.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92225.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92226.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92227.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92228.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92229.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92230.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92231.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92232.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92233.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92234.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92235.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92236.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92237.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92238.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92239.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92240.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92241.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92242.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92243.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92244.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92245.dat,SN Iax[02cx-like],0.006
2024pxl,2024pxl_92246.dat,SN Iax[02cx-like],0.006
2025aaeo,2025aaeo_91911.ascii,SLSN-I,0.137
2025aedz,2025aedz_92265.dat,SN II,0.012
2025aedz,2025aedz_92266.dat,SN II,0.012
2025aedz,2025aedz_92267.dat,SN II,0.012
2025aedz,2025aedz_92268.dat,SN II,0.012
2025aedz,2025aedz_92269.dat,SN II,0.012
2025aedz,2025aedz_92274.dat,SN II,0.012
2025aedz,2025aedz_92275.dat,SN II,0.012
2025aedz,2025aedz_92276.dat,SN II,0.012
2025aedz,2025aedz_92277.dat,SN II,0.012
2025aedz,2025aedz_92278.dat,SN II,0.012
2025aedz,2025aedz_92279.dat,SN II,0.012
2025kg,2025kg_92365.txt,SN Ic-BL,0.176
2025kg,2025kg_92366.txt,SN Ic-BL,0.176
2025kg,2025kg_92367.txt,SN Ic-BL,0.176
2025kzr,2025kzr_92121.txt,SN Ibn,0.012
2026btd,2026btd_92030.ascii,SN IIn,0.07811
2026egi,2026egi_92313.ascii,SN II,0.020338
2026eqe,2026eqe_92256.ascii,SN IIn,0.038857
2026fdo,2026fdo_91906.ascii,SN IIP,0.0548
2026fhh,2026fhh_92015.ascii,SN IIn,0.0555
2026fxs,2026fxs_92187.ascii,SN Ib-pec,0.0535
2026gzf,2026gzf_92349.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92350.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92351.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92352.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92353.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92354.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92355.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92356.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92357.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92368.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92369.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92370.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92371.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92372.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92373.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92374.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92375.dat,SN Ic-BL,0.0344
2026jlm,2026jlm_92065.csv,SN Ia,0.016738
2026jln,2026jln_92014.ascii,SN II,0.07
2026jqf,2026jqf_92025.ascii,SN II,0.07
2026kul,2026kul_92311.ascii,SN II,0.034
2026kuv,2026kuv_92127.txt,SN Ia,0.045
2026kxa,2026kxa_92179.ascii,SN Ia,0.104
2026ldm,2026ldm_92024.ascii,SN II-pec,0.075224146
2026lew,2026lew_92348.ascii,SN II,0.06
2026lma,2026lma_92309.ascii,SN II,0.0463
2026mas,2026mas_92178.ascii,SN II,0.043
2026miz,2026miz_92027.ascii,SLSN-II,0.18064
2026mjz,2026mjz_92345.ascii,SN IIn,0.096
2026mkd,2026mkd_92164.ascii,SN Ib,0.038555
2026nac,2026nac_92010.ascii,SN II,0.133
2026nbp,2026nbp_92110.ascii,SN II,0.1316
2026nhm,2026nhm_92362.dat,SN Ia,0.0872
2026nhq,2026nhq_92260.ascii,SN Ia,0.045
2026njw,2026njw_92013.ascii,SN II,0.065858
2026nkj,2026nkj_92032.ascii,SN IIn,0.103
2026npx,2026npx_92012.ascii,SN Ia,0.138
2026nqo,2026nqo_91945.ascii,SN II,0.018509
2026nsc,2026nsc_91905.ascii,SN Ia-91T-like,0.17216
2026nuv,2026nuv_92066.csv,SN Ia,0.02
2026nwf,2026nwf_91916.dat,SN Ic,0.0176
2026nwm,2026nwm_92101.ascii,SN II,0.042409
2026nyl,2026nyl_92023.ascii,SN Ia,0.11
2026nyw,2026nyw_92376.txt,SLSN-I,0.2876
2026obc,2026obc_91912.ascii,SN Icn,0.0195
2026obc,2026obc_92382.ascii,SN Icn,0.0195
2026obe,2026obe_92011.ascii,SN Ia,0.0816
2026oda,2026oda_91998.ascii,SN Ia,0.085
2026oeh,2026oeh_92102.ascii,SN Ia,0.09
2026oev,2026oev_92031.ascii,SN Ia,0.07
2026off,2026off_91944.ascii,SN II,0.0165347
2026ogn,2026ogn_92022.ascii,SN II,0.039
2026ojc,2026ojc_92177.ascii,SN Ia,0.118
2026okk,2026okk_92255.ascii,SN Ia,0.097
2026omh,2026omh_92028.ascii,SN IIn,0.085
2026onr,2026onr_92009.ascii,SN Ia,0.07
2026opn,2026opn_92176.ascii,SN Ia,0.088
2026opo,2026opo_92100.ascii,SN Ia,0.081
2026oqr,2026oqr_92111.ascii,SN IIP,0.0329
2026oqv,2026oqv_92319.ascii,SN Ia,0.05
2026ord,2026ord_92259.ascii,SN Ia,0.07
2026ost,2026ost_92021.ascii,SN Ia,0.10870287
2026osv,2026osv_92163.ascii,SN Ia,0.1127
2026otd,2026otd_92114.ascii,SN Ia,0.129
2026ovl,2026ovl_91913.ascii,SN Ia,0.05
2026ovz,2026ovz_91907.dat,SN II,0.017569
2026ovz,2026ovz_92282.txt,SN II,0.017569
2026pab,2026pab_92264.ascii,SN Ia,0.026512
2026pac,2026pac_92019.ascii,SN Ia,0.083323
2026pbh,2026pbh_92020.ascii,SN Ia,0.07
2026pbk,2026pbk_91903.flm,SN II,0.0302
2026pce,2026pce_92099.ascii,SN Ia,0.08
2026peb,2026peb_92026.ascii,SN II,0.04
2026phz,2026phz_92098.ascii,SN Ia,0.123
2026pjx,2026pjx_92308.ascii,SN Ia,0.09
2026pkh,2026pkh_91904.ascii,SN Ia,0.068
2026pkq,2026pkq_92060.ascii,SN II,0.015367
2026plj,2026plj_92018.ascii,SN Ia,0.08
2026plu,2026plu_92263.ascii,SN Ia,0.08
2026plz,2026plz_92175.ascii,SN II,0.06024
2026pmi,2026pmi_92017.ascii,SN Ia,0.037
2026pmr,2026pmr_92029.ascii,SN Ia,0.05
2026poe,2026poe_92174.ascii,SN Ia,0.087
2026ppg,2026ppg_92097.ascii,SN II,0.034
2026pph,2026pph_92112.ascii,SN Ia,0.1406
2026ppr,2026ppr_92318.ascii,SN Ia,0.137
2026ppw,2026ppw_92016.ascii,SN Ia,0.082
2026ptz,2026ptz_92173.ascii,SN II,0.0296
2026pue,2026pue_92093.ascii,SN Ia,0.07
2026pun,2026pun_92172.ascii,SN II,0.067
2026puv,2026puv_92000.ascii,SN Ia,0.1
2026pvk,2026pvk_92063.csv,SN Ia,0.028
2026pws,2026pws_91915.ascii,SLSN-II,0.119
2026pws,2026pws_92361.dat,SLSN-II,0.119
2026pxh,2026pxh_92059.dat,SN Ia-91T-like,0.063432
2026pxh,2026pxh_92343.ascii,SN Ia-91T-like,0.063432
2026pxp,2026pxp_92035.dat,SN Ia,0.065
2026pxz,2026pxz_91925.txt,SN Ia,0.039
2026pyd,2026pyd_92109.dat,SN Ia,0.05
2026pyo,2026pyo_91996.ascii,SN Ia,0.1
2026qad,2026qad_92033.dat,SN Ibn,0.0128
2026qbg,2026qbg_92170.ascii,SN Ia,0.075
2026qbn,2026qbn_92171.ascii,SN Ia,0.088
2026qbq,2026qbq_92181.ascii,SN Ic,0.035
2026qco,2026qco_92290.ascii,SN Ia,0.07
2026qdd,2026qdd_91994.ascii,SN Ia,0.0639776
2026qdq,2026qdq_91909.ascii,SN Ia,0.062
2026qfo,2026qfo_92253.ascii,SN Ic-BL,0.082
2026qig,2026qig_91997.ascii,SN Ia,0.075
2026qil,2026qil_92186.dat,SN Ia,0.032
2026qiz,2026qiz_92169.ascii,SN Ia,0.127
2026qpr,2026qpr_92064.csv,SN Ia-91T-like,0.022
2026qqb,2026qqb_92360.dat,SLSN-I,0.15
2026qqp,2026qqp_92036.txt,SN Ia,0.020204
2026qrh,2026qrh_91942.ascii,SN Ia,0.1
2026qrk,2026qrk_91995.ascii,SN Ia,0.11
2026qtn,2026qtn_91991.ascii,SN Ia,0.03745
2026qtn,2026qtn_92007.dat,SN Ia,0.03745
2026qtt,2026qtt_92254.ascii,SN IIn,0.064
2026qtw,2026qtw_92135.ascii,SLSN-II,0.2149
2026qtz,2026qtz_91908.ascii,SN Ia,0.043
2026qua,2026qua_91993.ascii,SN Ib,0.026488
2026quc,2026quc_92058.ascii,SN Ia,0.081
2026que,2026que_92002.ascii,SN II,0.044447
2026qvo,2026qvo_92183.ascii,SN Ia,0.06943
2026rcf,2026rcf_92283.dat,SN Ia,0.18
2026rcy,2026rcy_92106.spec,SLSN-I,0.71
2026rdf,2026rdf_92168.ascii,SN Ic,0.027
2026rea,2026rea_92184.ascii,SN Ia,0.036
2026reb,2026reb_92323.flm,SN IIn,0.055
2026ree,2026ree_92315.ascii,SN IIb,0.03269
2026res,2026res_91992.ascii,SN Ia,0.07
2026ret,2026ret_92159.ascii,SN IIb,0.055
2026reu,2026reu_91990.ascii,SN Ia,0.065
2026rez,2026rez_92281.ascii,SN II,0.045
2026rhk,2026rhk_91910.ascii,SN Ia,0.052
2026rhn,2026rhn_92096.ascii,SN Ia,0.087
2026rik,2026rik_91917.ascii,SN Ia,0.05
2026riw,2026riw_92095.ascii,SN Ia,0.12276053
2026rkg,2026rkg_92069.dat,SN Ia,0.079
2026rld,2026rld_91943.ascii,SN Ia,0.08
2026rms,2026rms_92191.dat,SN I,0.01918
2026roc,2026roc_92092.dat,SLSN-I,
2026roh,2026roh_92257.ascii,SN IIn,0.114601
2026rol,2026rol_92070.dat,SN Ia,0.079
2026roo,2026roo_92001.ascii,SN II,0.055
2026rvh,2026rvh_92124.ascii,SN Ia,0.07704
2026rvo,2026rvo_92034.ascii,SN Ia,0.026
2026rvq,2026rvq_92321.flm,SN Ia,0.077
2026rvs,2026rvs_92094.ascii,SN Ia,0.083
2026rwh,2026rwh_92008.ascii,SN Ia,0.08
2026rwk,2026rwk_92006.ascii,SN Ia,0.065
2026ryw,2026ryw_92130.flm,SN Ia,0.0749
2026sdt,2026sdt_92062.ascii,SN Ia,0.07542
2026see,2026see_92258.ascii,SN Ia,0.084
2026snc,2026snc_92166.ascii,SN Ia,0.106
2026sqm,2026sqm_92072.dat,SN Ia,0.057
2026squ,2026squ_92190.ascii,SN Ia,0.084
2026sqv,2026sqv_92307.ascii,SN II,0.048
2026srb,2026srb_92167.ascii,SN II,0.042
2026srr,2026srr_92182.ascii,SN Ia,0.073
2026stj,2026stj_92113.ascii,SN Ia,0.097
2026stl,2026stl_92075.dat,SN II,0.0139
2026str,2026str_92325.ascii,SN Ia,0.1
2026stt,2026stt_92073.dat,SN Ia,0.073
2026stu,2026stu_92115.ascii,SN Icn,0.15
2026stu,2026stu_92197.ascii,SN Icn,0.15
2026sum,2026sum_92378.ascii,SN Ia,0.11
2026sur,2026sur_92071.dat,SN IIb,0.036
2026tjp,2026tjp_92317.ascii,SN Ia,0.065
2026tmt,2026tmt_92068.dat,SN Ia-91T-like,0.147
2026tmv,2026tmv_92126.ascii,SN Ia,0.06
2026tnd,2026tnd_92320.flm,SN II,0.03
2026tpt,2026tpt_92122.txt,SN Ia,0.038781
2026tqc,2026tqc_92249.dat,SN Ia-SC,0.031587
2026tqc,2026tqc_92358.ascii,SN Ia-SC,0.031587
2026tra,2026tra_92316.ascii,SN Ia,0.06134
2026trc,2026trc_92162.ascii,SN Ib,0.04285
2026trg,2026trg_92088.dat,SN Ia,0.072
2026trp,2026trp_92252.ascii,SN Ib,0.03205
2026tut,2026tut_92324.ascii,SN Ia,0.083
2026tvx,2026tvx_92312.ascii,SN Ia,0.09
2026twa,2026twa_92087.dat,SN Ia,0.094
2026txx,2026txx_92306.ascii,SN Ia,0.124
2026tya,2026tya_92089.dat,SN Ic,
2026tzm,2026tzm_92284.dat,SN Ia,0.18
2026ugn,2026ugn_92364.spec,SN Ia,0.0855
2026uid,2026uid_92103.ascii,SLSN-I,0.936
2026uii,2026uii_92105.ascii,SN Ia,0.331
2026ukg,2026ukg_92107.csv,SN Ia,0.02
2026unl,2026unl_92339.txt,SN Ia,0.03
2026unl,2026unl_92340.ascii,SN Ia,0.03
2026unq,2026unq_92133.dat,SN Ia,0.07831
2026uve,2026uve_92192.dat,SN Ib,0.01488
2026uvn,2026uvn_92157.ascii,SN Ic,0.03321235
2026uvu,2026uvu_92344.ascii,SN Ia,0.08
2026uvw,2026uvw_92131.flm,SN Ia,0.11
2026uwk,2026uwk_92180.ascii,SN Ia,0.02177
2026uwl,2026uwl_92158.ascii,SN Ia,0.083
2026uwm,2026uwm_92251.dat,SN Ia,0.052148
2026uwp,2026uwp_92247.dat,SN Ia,0.04289
2026uxp,2026uxp_92305.ascii,SN Ia,0.089306
2026uxq,2026uxq_92289.ascii,SN Ia,0.068
2026uxs,2026uxs_92262.ascii,SN Ia,0.115
2026uxu,2026uxu_92248.dat,SN Ia,0.12
2026uxx,2026uxx_92193.dat,SN Ic,0.01017
2026uxy,2026uxy_92188.dat,SN II,0.01813
2026uxy,2026uxy_92250.dat,SN II,0.01813
2026uyd,2026uyd_92156.ascii,SN II,0.055
2026uyf,2026uyf_92301.ascii,SN Ia,0.038
2026uyj,2026uyj_92132.dat,SN Ia,0.03837
2026uyk,2026uyk_92380.ascii,SN II,0.039
2026uzr,2026uzr_92292.ascii,SN Ia,0.043
2026vay,2026vay_92194.dat,SN Ib,0.02
2026vbd,2026vbd_92296.ascii,SN Ia,0.074
2026vbh,2026vbh_92195.dat,SN Ia,0.01834
2026vbo,2026vbo_92304.ascii,SN Ia,0.08342333
2026vbs,2026vbs_92293.txt,SN Ia,0.05
2026vdr,2026vdr_92291.ascii,SN Ia,0.047
2026vec,2026vec_92300.ascii,SN Ia,0.021428
2026ved,2026ved_92341.txt,SN IIb,0.01859
2026ved,2026ved_92363.dat,SN IIb,0.01859
2026veg,2026veg_92294.dat,SN Ia,0.061
2026ves,2026ves_92322.flm,SN II,0.049
2026vfd,2026vfd_92295.txt,SN IIn,0.126
2026vhb,2026vhb_92285.txt,SN II,0.023
2026vhb,2026vhb_92302.ascii,SN II,0.023
2026vhn,2026vhn_92280.txt,SN IIP,0.000505
2026vsh,2026vsh_92379.ascii,SN Ia,0.08
2026vts,2026vts_92342.ascii,SN Ia,0.098
2026wgb,2026wgb_92377.ascii,SN Ia,0.033775
AT2026rwe,AT2026rwe_92137.ascii,SN IIb,0.0207
AT2026weo,AT2026weo_92346.ascii,SN Ia,0.024
AT2026weo,AT2026weo_92347.ascii,SN Ia,0.024
