iau,filename,type,redshift
2026gzw,2026gzw_91207.ascii,SN Ia,0.079475
2026hks,2026hks_91212.ascii,SN Ib,0.025361
2026hku,2026hku_91286.ascii,SN Ia,0.11
2026hlq,2026hlq_91346.txt,SN Ia,0.066
2026hmj,2026hmj_91285.ascii,SN Ib,0.0485
2026hnc,2026hnc_91068.spec,SN Ia,0.086
2026iea,2026iea_91386.ascii,SN Ia,0.083
2026iha,2026iha_91175.ascii,SN IIn,0.084
2026ikn,2026ikn_91199.flm,SN Ia,0.298
2026ipz,2026ipz_91385.ascii,SN Ia,0.07652
2026iql,2026iql_91392.ascii,SN II,0.024624
2026irw,2026irw_91206.ascii,SN Ia,0.058
2026irz,2026irz_91284.ascii,SN Ia,0.08
2026isk,2026isk_91208.ascii,SN Ia,0.0905
2026ism,2026ism_91391.ascii,SN Ia,0.078
2026ivw,2026ivw_91210.ascii,SN II,0.044
2026iwp,2026iwp_91312.dat,SLSN-I,0.466
2026ixo,2026ixo_91177.ascii,SN II,0.1225
2026iyd,2026iyd_91407.ascii,SN Ib,0.031138
2026jeg,2026jeg_91064.ascii,SN Ia,0.09
2026jkr,2026jkr_91198.flm,SN Ic-BL,0.35
2026jla,2026jla_91155.ascii,SN II,0.02827
2026joh,2026joh_91061.dat,SN II,0.032
2026jpk,2026jpk_91130.ascii,SN Ia,0.074
2026jpt,2026jpt_91283.ascii,SN Ia,0.074732
2026jqe,2026jqe_91157.ascii,SN Ia,0.065
2026jte,2026jte_91289.ascii,SN Ia,0.0746
2026jvx,2026jvx_91213.ascii,SN Ia,0.08131
2026jwy,2026jwy_91152.ascii,SN Ia,0.053
2026kal,2026kal_91292.ascii,SN II,0.017
2026kbr,2026kbr_91351.ascii,SN II,0.04
2026kfw,2026kfw_91197.flm,SN I,
2026kid,2026kid_91214.dat,SN II,0.0017
2026kjm,2026kjm_91144.ascii,SN Ia,0.07
2026kjp,2026kjp_91150.ascii,SN Ia,0.096
2026kmp,2026kmp_91360.spec,SN II,0.0335
2026kmy,2026kmy_91178.ascii,SN Ia,0.045
2026knt,2026knt_91357.spec,SN Ia,0.0443
2026kof,2026kof_91066.dat,SN Ia,0.041019
2026kor,2026kor_91406.ascii,SN IIn,0.058
2026kqy,2026kqy_91060.ascii,SN Ia,0.081
2026kqz,2026kqz_91435.dat,SN Ia,0.087
2026krb,2026krb_91179.ascii,SN Ia,0.101
2026krh,2026krh_91067.ascii,SN Ia,0.045
2026ksg,2026ksg_91151.ascii,SN Ia,0.115
2026ktu,2026ktu_91408.ascii,SN Ia,0.076
2026kuw,2026kuw_91374.txt,SN II,0.014693
2026kux,2026kux_91264.ascii,SN Ia,0.021975
2026kwo,2026kwo_91180.dat,SN Ia,0.031336
2026kwu,2026kwu_91400.ascii,SN Ia,0.045
2026kys,2026kys_91282.ascii,SN Ia,0.04636
2026kyt,2026kyt_91234.ascii,SN Ia,0.075
2026kyv,2026kyv_91201.ascii,SN II,0.03
2026kzt,2026kzt_91204.ascii,SN Ia,0.065
2026kzu,2026kzu_91211.ascii,SN Ia,0.06303
2026laf,2026laf_91203.ascii,SN Ia,0.09
2026lal,2026lal_91291.ascii,SN Ia,0.12874068
2026las,2026las_91248.ascii,SN Ia,0.051
2026lat,2026lat_91065.ascii,SLSN-II,0.127
2026lba,2026lba_91149.ascii,SN Ia,0.077
2026lcl,2026lcl_91143.dat,SN II,0.047
2026lcn,2026lcn_91293.txt,SN Ia,0.073
2026lez,2026lez_91326.ascii,SN Ia,0.09
2026lfb,2026lfb_91181.ascii,SN Ia,0.145
2026lfo,2026lfo_91085.dat,SN Ia-91T-like,0.0784
2026lga,2026lga_91084.dat,SN Ia,0.032
2026lht,2026lht_91370.txt,SN Ia,0.063
2026lhu,2026lhu_91083.dat,SN Ia,0.069
2026lhu,2026lhu_91249.ascii,SN Ia,0.069
2026ljp,2026ljp_91200.ascii,SN Ia,0.074
2026ljt,2026ljt_91365.ascii,SN Ia-91bg-like,0.023
2026ljv,2026ljv_91154.ascii,SN Ia,0.04
2026ljx,2026ljx_91314.dat,SN Ia,0.074
2026lkm,2026lkm_91348.txt,SN Ia,0.028
2026lli,2026lli_91359.dat,SN Ia,0.02
2026lli,2026lli_91373.txt,SN Ia,0.02
2026llt,2026llt_91227.ascii,SN Ia,0.085173
2026llu,2026llu_91266.dat,SN Ia,0.031239
2026lmm,2026lmm_91347.txt,SN Ia,0.056
2026lmw,2026lmw_91156.ascii,SN Ia,0.0776178
2026lnb,2026lnb_91202.ascii,SN Ia,0.116493
2026lni,2026lni_91290.ascii,SN Ia,0.146
2026lns,2026lns_91192.ascii,SN Ia,0.0686
2026lnt,2026lnt_91209.ascii,SN II,0.02
2026lnv,2026lnv_91281.ascii,SN Ia,0.052
2026loc,2026loc_91250.ascii,SN Ia,0.09
2026log,2026log_91158.ascii,SN Ia,0.076221
2026lok,2026lok_91228.ascii,SN Ia,0.057
2026lov,2026lov_91229.ascii,SN Ia,0.07118159
2026loz,2026loz_91169.txt,SN Ia,0.141
2026lpk,2026lpk_91225.ascii,SN Ia,0.122
2026lpm,2026lpm_91389.ascii,SN Ia,0.074563
2026lqk,2026lqk_91226.ascii,SN Ia,0.062
2026lqp,2026lqp_91393.ascii,SN Ia,0.0749863
2026lqq,2026lqq_91390.ascii,SN Ia,0.081196
2026lrq,2026lrq_91349.ascii,SN II,0.03565
2026lsb,2026lsb_91230.ascii,SN Ia,0.047393
2026lsl,2026lsl_91383.ascii,SN Ia,0.08723
2026lsy,2026lsy_91434.dat,SN Ia,0.1087
2026ltb,2026ltb_91384.ascii,SN II,0.04303
2026ltj,2026ltj_91252.ascii,SN Ia,0.075
2026ltq,2026ltq_91388.ascii,SN Ia,0.083
2026lup,2026lup_91324.dat,SN Ia,0.054
2026lxa,2026lxa_91313.dat,SN Ia,0.0759
2026mah,2026mah_91350.ascii,SN IIn,0.05
2026mbc,2026mbc_91205.ascii,SN Ia,0.07
2026mby,2026mby_91329.ascii,SN Ia,0.114
2026meq,2026meq_91381.ascii,SN IIb,0.0359
2026mex,2026mex_91382.ascii,SN Ic-BL,0.0765
2026mgf,2026mgf_91322.ascii,SN Ia,0.066
2026mhj,2026mhj_91364.ascii,SN II,0.034788
2026mho,2026mho_91233.dat,SN IIn,0.008
2026mif,2026mif_91327.spec,SN II,0.036
2026mil,2026mil_91366.ascii,SN Ia,0.046
2026min,2026min_91457.dat,SN Ia,0.028218
2026mjj,2026mjj_91436.dat,SN Ia,0.149
2026mjn,2026mjn_91394.ascii,SN Ibn,0.0864
2026mko,2026mko_91251.flm,SN Ia,0.08
2026mkv,2026mkv_91328.ascii,SN Ia,0.056
2026mlk,2026mlk_91437.dat,SN Ia,0.102
2026mrd,2026mrd_91352.dat,SN Ia,0.037282
2026mrg,2026mrg_91323.dat,SN II,0.026
2026mst,2026mst_91367.ascii,SN Ia,0.083
2026mta,2026mta_91356.ascii,SN Ia,0.025349
2026mum,2026mum_91452.txt,SN II,0.02
2026mur,2026mur_91380.ascii,SN Ia,0.14
2026muw,2026muw_91404.ascii,SN IIn,0.061582
2026mvy,2026mvy_91345.ascii,SN Ia,0.039825
2026mxg,2026mxg_91355.ascii,SN Ia,0.059
2026mxs,2026mxs_91375.ascii,SN II,0.04
2026myp,2026myp_91325.dat,SN Ia,0.022
2026mza,2026mza_91460.txt,SN Ia,0.12
2026mzl,2026mzl_91362.dat,SN Ia,0.08
2026nad,2026nad_91397.csv,SN Ia,0.0092
2026nag,2026nag_91405.ascii,SN Ia,0.06
2026nak,2026nak_91368.ascii,SN Ia,0.07
2026naq,2026naq_91363.txt,SN IIb,0.021
2026naz,2026naz_91387.ascii,SN Ib,0.030332
2026nba,2026nba_91315.ascii,SN Ia,0.065333
2026nbj,2026nbj_91361.dat,SN Ia,0.03
2026ndw,2026ndw_91369.dat,SN Ic,0.041
2026ndx,2026ndx_91379.ascii,SN Ia,0.096
2026neh,2026neh_91411.ascii,SN Ia,0.09
2026nem,2026nem_91354.ascii,SN Ia,0.043
2026nfn,2026nfn_91378.ascii,SN Ia,0.058718
2026nfu,2026nfu_91377.ascii,SN Ia,0.066
2026ngb,2026ngb_91358.spec,SN II,0.016198
2026ngr,2026ngr_91456.ascii,SN Ia,0.95
2026nie,2026nie_91454.ascii,SN Ia,0.042
2026njf,2026njf_91402.ascii,SN Ia,0.09939
2026njg,2026njg_91409.dat,SN II,0.03
2026nml,2026nml_91414.dat,SN II,0.016
2026nny,2026nny_91401.ascii,SN Ia,0.115
2026npf,2026npf_91412.dat,SN Ia,0.02
2026nrg,2026nrg_91451.dat,SN Ia,0.0288
2026nrq,2026nrq_91413.txt,SN Ia,0.085
2026nti,2026nti_91415.csv,SN IIP,0.011
2026nuh,2026nuh_91458.txt,SN Ia,0.056
2026nur,2026nur_91441.csv,SN Ia-91bg-like,0.0067
2026nus,2026nus_91453.txt,SN Ia,0.06
2026nuv,2026nuv_91459.txt,SN Ia,0.02
2026nwj,2026nwj_91455.txt,SN II,0.012479
AT2026iic,AT2026iic_91171.ascii,SN Ia-CSM,0.111
AT2026jms,AT2026jms_91173.ascii,SN IIb,0.0369
AT2026jzl,AT2026jzl_91174.ascii,SN Ib-pec,0.067
AT2026kyp,AT2026kyp_91170.ascii,SN Ia,0.087
AT2026lap,AT2026lap_91172.ascii,SN Ia,0.042
